"Reference","Qty","Value","Footprint","Datasheet"
"C1,C6","2","100uF","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","~"
"C2,C4,C10","3",".1uF","1FootPrintLibrary:0805","~"
"C3","1","1uF","1FootPrintLibrary:0805",""
"C5","1","0.3uF","1FootPrintLibrary:0805","~"
"C7","1","1uf","1FootPrintLibrary:0805","~"
"C8","1","2uF","1FootPrintLibrary:0805","~"
"C9","1","330uF","Capacitor_THT:C_Radial_D8.0mm_H11.5mm_P3.50mm",""
"C11","1","10pF","1FootPrintLibrary:0805",""
"D1","1","1N4001","1FootPrintLibrary:DIODE_0805","~"
"D2","1","Power","1FootPrintLibrary:DIODE_0805","~"
"D3","1","1N4148","1FootPrintLibrary:DIODE_0805","~"
"D4,D5","2","1N914","1FootPrintLibrary:DIODE_0805","~"
"J1,J15","2","I2C","1FootPrintLibrary:Header_1_x_4",""
"J2,J3,J4,J5,J6","5","XT60 Header","1FootPrintLibrary:XT-60 Power Male (Load Side)",""
"J7","1","ICSP","1FootPrintLibrary:Header_1_x_6",""
"J8","1","TX Female","1FootPrintLibrary:Header_1_x_3",""
"J9","1","Cam 1","1FootPrintLibrary:Header_1_x_7",""
"J10","1","Cam 2","1FootPrintLibrary:Header_1_x_7",""
"J11","1","Cam 3","1FootPrintLibrary:Header_1_x_7",""
"J12","1","Cam 4","1FootPrintLibrary:Header_1_x_7",""
"J13","1","RGB","1FootPrintLibrary:Header_1_x_4",""
"J14","1","Fan","1FootPrintLibrary:Header_1_x_4",""
"J16","1","TX PWR","1FootPrintLibrary:Header_1_x_2",""
"L1","1","50uH","1FootPrintLibrary:78404064680","~"
"L2","1","10uH","1FootPrintLibrary:0805","~"
"R1","1","5.1k","1FootPrintLibrary:0805","~"
"R2","1","470 1W","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~"
"R3","1","4.7k","1FootPrintLibrary:0805","~"
"R4","1","1.2k","1FootPrintLibrary:0805","~"
"R5","1","3.9k","1FootPrintLibrary:0805","~"
"R6","1","10k","1FootPrintLibrary:0805","~"
"R7","1","47","1FootPrintLibrary:0805","~"
"R8","1","100 1W","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~"
"R9,R10,R14","3","330","1FootPrintLibrary:0805","~"
"R11","1","750","1FootPrintLibrary:0805","~"
"R12","1","1.5k","1FootPrintLibrary:0805","~"
"R13","1","3.3k","1FootPrintLibrary:0805","~"
"TP1","1","13V","1FootPrintLibrary:Header_1_x_1","~"
"TP2","1","SCL","1FootPrintLibrary:Header_1_x_1","~"
"TP3","1","SDA","1FootPrintLibrary:Header_1_x_1","~"
"TP4","1","5V","1FootPrintLibrary:Header_1_x_1","~"
"TP5","1","TX Cam","1FootPrintLibrary:Header_1_x_1","~"
"TP6","1","RX Cam","1FootPrintLibrary:Header_1_x_1","~"
"TP7","1","-5V","1FootPrintLibrary:Header_1_x_1","~"
"TP8","1","RB0","1FootPrintLibrary:Header_1_x_1","~"
"TP9","1","RB1","1FootPrintLibrary:Header_1_x_1","~"
"TP10","1","Video Out","1FootPrintLibrary:Header_1_x_1","~"
"TP11,TP12,TP13","3","GND","1FootPrintLibrary:Header_1_x_1","~"
"U1","1","TLV1117-50","1FootPrintLibrary:TLV1117-50","http://www.ti.com/lit/ds/symlink/tlv1117.pdf"
"U2","1","LT1171","1FootPrintLibrary:LT1172",""
"U3","1","~","1FootPrintLibrary:PIC16F883",""
"U4","1","4052","1FootPrintLibrary:CD4052BPWR","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4051bms-52bms-53bms.pdf"
"U5","1","LMH6574","1FootPrintLibrary:LMH6574",""
